,Unnamed: 0,Unnamed: 0.1,Avg.,CR,MPQA,MR,MRPC,SICKRelatedness,SST2,STSBenchmark,SUBJ,TREC,epoch,step
27,27.0,,14.58,0.0,0.0,0.0,0.0,65.05,0.0,66.16,0.0,0.0,6,50999
28,28.0,,14.53,0.0,0.0,0.0,0.0,64.89,0.0,65.92,0.0,0.0,2,22999
29,29.0,,14.58,0.0,0.0,0.0,0.0,65.03,0.0,66.16,0.0,0.0,6,49999
30,30.0,,14.55,0.0,0.0,0.0,0.0,64.93,0.0,66.04,0.0,0.0,4,31999
31,31.0,,14.56,0.0,0.0,0.0,0.0,64.95,0.0,66.05,0.0,0.0,4,33999
32,32.0,,14.58,0.0,0.0,0.0,0.0,65.06,0.0,66.16,0.0,0.0,6,52999
33,33.0,,14.57,0.0,0.0,0.0,0.0,65.01,0.0,66.15,0.0,0.0,6,46999
34,34.0,,14.54,0.0,0.0,0.0,0.0,64.9,0.0,65.94,0.0,0.0,3,23999
35,35.0,,14.54,0.0,0.0,0.0,0.0,64.91,0.0,65.99,0.0,0.0,3,27999
36,36.0,,14.57,0.0,0.0,0.0,0.0,65.01,0.0,66.14,0.0,0.0,5,45999
37,37.0,,14.55,0.0,0.0,0.0,0.0,64.91,0.0,66.0,0.0,0.0,3,28999
38,38.0,,14.57,0.0,0.0,0.0,0.0,65.0,0.0,66.14,0.0,0.0,5,44999
39,39.0,,14.57,0.0,0.0,0.0,0.0,65.02,0.0,66.15,0.0,0.0,6,47999
40,40.0,,14.58,0.0,0.0,0.0,0.0,65.06,0.0,66.16,0.0,0.0,6,51999
41,41.0,,14.57,0.0,0.0,0.0,0.0,64.98,0.0,66.13,0.0,0.0,5,42999
42,42.0,,14.54,0.0,0.0,0.0,0.0,64.92,0.0,65.98,0.0,0.0,3,26999
43,43.0,,14.55,0.0,0.0,0.0,0.0,64.93,0.0,66.03,0.0,0.0,3,30999
44,44.0,,14.58,0.0,0.0,0.0,0.0,65.06,0.0,66.15,0.0,0.0,7,57999
45,45.0,,14.56,0.0,0.0,0.0,0.0,64.98,0.0,66.1,0.0,0.0,4,38999
46,46.0,,14.58,0.0,0.0,0.0,0.0,65.06,0.0,66.15,0.0,0.0,7,55999
47,47.0,,14.58,0.0,0.0,0.0,0.0,65.06,0.0,66.15,0.0,0.0,7,58999
48,48.0,,14.58,0.0,0.0,0.0,0.0,65.03,0.0,66.15,0.0,0.0,6,48999
49,49.0,,14.56,0.0,0.0,0.0,0.0,64.95,0.0,66.08,0.0,0.0,4,35999
50,50.0,,14.57,0.0,0.0,0.0,0.0,64.98,0.0,66.11,0.0,0.0,5,40999
51,51.0,,14.56,0.0,0.0,0.0,0.0,64.97,0.0,66.1,0.0,0.0,5,39999
52,52.0,,14.58,0.0,0.0,0.0,0.0,65.06,0.0,66.15,0.0,0.0,7,54999
53,53.0,,14.58,0.0,0.0,0.0,0.0,65.05,0.0,66.15,0.0,0.0,7,56999
54,54.0,,14.58,0.0,0.0,0.0,0.0,65.07,0.0,66.16,0.0,0.0,6,53999
55,55.0,,14.54,0.0,0.0,0.0,0.0,64.91,0.0,65.95,0.0,0.0,3,24999
56,56.0,,14.56,0.0,0.0,0.0,0.0,64.97,0.0,66.09,0.0,0.0,4,37999
57,57.0,,14.56,0.0,0.0,0.0,0.0,64.94,0.0,66.06,0.0,0.0,4,34999
58,58.0,,14.57,0.0,0.0,0.0,0.0,65.0,0.0,66.13,0.0,0.0,5,43999
59,59.0,,14.54,0.0,0.0,0.0,0.0,64.92,0.0,65.97,0.0,0.0,3,25999
60,,,14.58,0.00,0.00,0.00,0.00,65.06,0.00,66.14,0.00,0.00,8,62999
61,,,14.58,0.00,0.00,0.00,0.00,65.06,0.00,66.14,0.00,0.00,7,61999
62,,,14.58,0.00,0.00,0.00,0.00,65.06,0.00,66.14,0.00,0.00,7,60999
