,Unnamed: 0,Unnamed: 0.1,Avg.,CR,MPQA,MR,MRPC,SICKRelatedness,SST2,STS12,STS13,STS14,STS15,STS16,STSBenchmark,SUBJ,TREC,epoch,step
39,39.0,,10.27,0.0,0.0,0.0,0.0,68.01,0.0,0.0,0.0,0.0,0.0,0.0,75.83,0.0,0.0,0,139999
40,40.0,,10.24,0.0,0.0,0.0,0.0,67.36,0.0,0.0,0.0,0.0,0.0,0.0,75.99,0.0,0.0,0,191999
41,41.0,,10.27,0.0,0.0,0.0,0.0,68.09,0.0,0.0,0.0,0.0,0.0,0.0,75.75,0.0,0.0,0,235999
42,42.0,,10.29,0.0,0.0,0.0,0.0,68.15,0.0,0.0,0.0,0.0,0.0,0.0,75.97,0.0,0.0,0,171999
43,43.0,,10.27,0.0,0.0,0.0,0.0,67.8,0.0,0.0,0.0,0.0,0.0,0.0,75.92,0.0,0.0,0,239999
44,44.0,,10.19,0.0,0.0,0.0,0.0,66.88,0.0,0.0,0.0,0.0,0.0,0.0,75.78,0.0,0.0,0,111999
45,45.0,,10.29,0.0,0.0,0.0,0.0,67.96,0.0,0.0,0.0,0.0,0.0,0.0,76.06,0.0,0.0,0,259999
46,46.0,,10.25,0.0,0.0,0.0,0.0,67.68,0.0,0.0,0.0,0.0,0.0,0.0,75.81,0.0,0.0,0,131999
47,47.0,,10.27,0.0,0.0,0.0,0.0,68.13,0.0,0.0,0.0,0.0,0.0,0.0,75.62,0.0,0.0,0,203999
48,48.0,,10.29,0.0,0.0,0.0,0.0,68.14,0.0,0.0,0.0,0.0,0.0,0.0,75.95,0.0,0.0,0,251999
49,49.0,,10.27,0.0,0.0,0.0,0.0,68.19,0.0,0.0,0.0,0.0,0.0,0.0,75.6,0.0,0.0,0,183999
50,50.0,,10.23,0.0,0.0,0.0,0.0,67.33,0.0,0.0,0.0,0.0,0.0,0.0,75.85,0.0,0.0,0,107999
51,51.0,,10.23,0.0,0.0,0.0,0.0,67.7,0.0,0.0,0.0,0.0,0.0,0.0,75.51,0.0,0.0,0,123999
52,52.0,,10.28,0.0,0.0,0.0,0.0,67.9,0.0,0.0,0.0,0.0,0.0,0.0,75.98,0.0,0.0,0,299999
53,53.0,,10.27,0.0,0.0,0.0,0.0,67.76,0.0,0.0,0.0,0.0,0.0,0.0,76.04,0.0,0.0,0,215999
54,54.0,,10.26,0.0,0.0,0.0,0.0,67.76,0.0,0.0,0.0,0.0,0.0,0.0,75.86,0.0,0.0,0,291999
55,55.0,,10.27,0.0,0.0,0.0,0.0,68.1,0.0,0.0,0.0,0.0,0.0,0.0,75.72,0.0,0.0,0,267999
56,56.0,,10.28,0.0,0.0,0.0,0.0,67.92,0.0,0.0,0.0,0.0,0.0,0.0,76.06,0.0,0.0,0,255999
57,57.0,,10.25,0.0,0.0,0.0,0.0,67.67,0.0,0.0,0.0,0.0,0.0,0.0,75.81,0.0,0.0,0,147999
58,58.0,,10.25,0.0,0.0,0.0,0.0,67.5,0.0,0.0,0.0,0.0,0.0,0.0,76.04,0.0,0.0,0,159999
59,59.0,,10.25,0.0,0.0,0.0,0.0,67.69,0.0,0.0,0.0,0.0,0.0,0.0,75.83,0.0,0.0,0,187999
