,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Avg.,CR,MPQA,MR,MRPC,SICKRelatedness,SST2,STSBenchmark,SUBJ,TREC,epoch,step,STS12,STS13,STS14,STS15,STS16
119,119,119.0,,,15.65,0.0,0.0,0.0,0.0,66.33,0.0,74.53,0.0,0.0,2,500399,,,,,
120,120,120.0,,,15.62,0.0,0.0,0.0,0.0,66.14,0.0,74.43,0.0,0.0,1,421199,,,,,
121,121,121.0,,,15.59,0.0,0.0,0.0,0.0,65.79,0.0,74.54,0.0,0.0,1,453599,,,,,
122,122,122.0,,,15.63,0.0,0.0,0.0,0.0,66.25,0.0,74.44,0.0,0.0,1,395999,,,,,
123,123,123.0,,,15.65,0.0,0.0,0.0,0.0,66.23,0.0,74.6,0.0,0.0,2,511199,,,,,
124,124,124.0,,,15.67,0.0,0.0,0.0,0.0,66.7,0.0,74.34,0.0,0.0,1,485999,,,,,
125,125,125.0,,,15.62,0.0,0.0,0.0,0.0,66.08,0.0,74.47,0.0,0.0,1,385199,,,,,
126,126,126.0,,,15.56,0.0,0.0,0.0,0.0,65.68,0.0,74.36,0.0,0.0,1,374399,,,,,
127,127,127.0,,,15.6,0.0,0.0,0.0,0.0,65.92,0.0,74.44,0.0,0.0,1,439199,,,,,
128,128,128.0,,,15.63,0.0,0.0,0.0,0.0,66.44,0.0,74.22,0.0,0.0,2,550799,,,,,
129,129,129.0,,,15.62,0.0,0.0,0.0,0.0,66.21,0.0,74.35,0.0,0.0,2,503999,,,,,
130,130,130.0,,,15.57,0.0,0.0,0.0,0.0,65.58,0.0,74.57,0.0,0.0,1,457199,,,,,
131,131,131.0,,,15.67,0.0,0.0,0.0,0.0,66.51,0.0,74.55,0.0,0.0,1,428399,,,,,
132,132,132.0,,,15.63,0.0,0.0,0.0,0.0,66.07,0.0,74.63,0.0,0.0,1,431999,,,,,
133,133,133.0,,,15.59,0.0,0.0,0.0,0.0,65.99,0.0,74.35,0.0,0.0,1,381599,,,,,
134,134,134.0,,,15.63,0.0,0.0,0.0,0.0,65.99,0.0,74.68,0.0,0.0,1,467999,,,,,
135,135,135.0,,,15.66,0.0,0.0,0.0,0.0,66.47,0.0,74.48,0.0,0.0,1,475199,,,,,
136,136,136.0,,,15.61,0.0,0.0,0.0,0.0,65.96,0.0,74.51,0.0,0.0,2,518399,,,,,
137,137,137.0,,,15.65,0.0,0.0,0.0,0.0,66.56,0.0,74.33,0.0,0.0,1,417599,,,,,
138,138,138.0,,,15.63,0.0,0.0,0.0,0.0,66.22,0.0,74.45,0.0,0.0,1,460799,,,,,
139,139,139.0,,,15.68,0.0,0.0,0.0,0.0,66.6,0.0,74.48,0.0,0.0,2,521999,,,,,
140,140,140.0,,,15.67,0.0,0.0,0.0,0.0,66.58,0.0,74.48,0.0,0.0,2,536399,,,,,
141,141,141.0,,,15.58,0.0,0.0,0.0,0.0,65.8,0.0,74.4,0.0,0.0,1,442799,,,,,
