,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Avg.,CR,MPQA,MR,MRPC,SICKRelatedness,SST2,STSBenchmark,SUBJ,TREC,epoch,step
88,,,,15.94,0.00,0.00,0.00,0.00,67.73,0.00,75.76,0.00,0.00,0,261999
89,,,,15.91,0.00,0.00,0.00,0.00,67.48,0.00,75.71,0.00,0.00,0,263999
90,,,,15.92,0.00,0.00,0.00,0.00,67.66,0.00,75.58,0.00,0.00,0,265999
91,,,,15.90,0.00,0.00,0.00,0.00,67.29,0.00,75.77,0.00,0.00,0,267999
92,,,,15.91,0.00,0.00,0.00,0.00,67.55,0.00,75.64,0.00,0.00,0,269999
93,,,,15.89,0.00,0.00,0.00,0.00,67.44,0.00,75.56,0.00,0.00,0,271999
94,,,,15.88,0.00,0.00,0.00,0.00,67.50,0.00,75.42,0.00,0.00,0,273999
95,,,,15.90,0.00,0.00,0.00,0.00,67.63,0.00,75.47,0.00,0.00,0,275999
96,,,,15.92,0.00,0.00,0.00,0.00,67.55,0.00,75.69,0.00,0.00,0,277999
97,,,,15.95,0.00,0.00,0.00,0.00,67.78,0.00,75.73,0.00,0.00,0,279999
98,,,,15.92,0.00,0.00,0.00,0.00,67.60,0.00,75.72,0.00,0.00,1,281999
99,,,,15.92,0.00,0.00,0.00,0.00,67.72,0.00,75.57,0.00,0.00,1,283999
100,,,,15.95,0.00,0.00,0.00,0.00,67.88,0.00,75.70,0.00,0.00,1,285999
101,,,,15.86,0.00,0.00,0.00,0.00,67.12,0.00,75.62,0.00,0.00,1,287999
102,,,,15.94,0.00,0.00,0.00,0.00,67.80,0.00,75.65,0.00,0.00,1,289999
103,,,,15.86,0.00,0.00,0.00,0.00,67.36,0.00,75.42,0.00,0.00,1,291999
104,,,,15.83,0.00,0.00,0.00,0.00,67.10,0.00,75.36,0.00,0.00,1,293999
105,,,,15.90,0.00,0.00,0.00,0.00,67.50,0.00,75.57,0.00,0.00,1,295999
106,,,,15.90,0.00,0.00,0.00,0.00,67.56,0.00,75.54,0.00,0.00,1,297999
107,,,,15.93,0.00,0.00,0.00,0.00,67.66,0.00,75.69,0.00,0.00,1,299999
108,,,,15.90,0.00,0.00,0.00,0.00,67.38,0.00,75.69,0.00,0.00,1,301999
109,,,,15.86,0.00,0.00,0.00,0.00,67.32,0.00,75.39,0.00,0.00,1,303999
110,,,,15.89,0.00,0.00,0.00,0.00,67.50,0.00,75.52,0.00,0.00,1,305999
111,,,,15.87,0.00,0.00,0.00,0.00,67.32,0.00,75.51,0.00,0.00,1,307999
112,,,,15.90,0.00,0.00,0.00,0.00,67.47,0.00,75.66,0.00,0.00,1,309999
113,,,,15.88,0.00,0.00,0.00,0.00,67.33,0.00,75.62,0.00,0.00,1,311999
