,Unnamed: 0,Unnamed: 0.1,Avg.,CR,MPQA,MR,MRPC,SICKRelatedness,SST2,STS12,STS13,STS14,STS15,STS16,STSBenchmark,SUBJ,TREC,epoch,step
63,,,10.07,0.00,0.00,0.00,0.00,66.12,0.00,0.00,0.00,0.00,0.00,0.00,74.82,0.00,0.00,0,279999
64,,,10.04,0.00,0.00,0.00,0.00,66.03,0.00,0.00,0.00,0.00,0.00,0.00,74.56,0.00,0.00,0,323999
65,,,10.08,0.00,0.00,0.00,0.00,66.29,0.00,0.00,0.00,0.00,0.00,0.00,74.87,0.00,0.00,0,287999
66,,,10.06,0.00,0.00,0.00,0.00,66.02,0.00,0.00,0.00,0.00,0.00,0.00,74.87,0.00,0.00,0,263999
67,,,9.99,0.00,0.00,0.00,0.00,65.37,0.00,0.00,0.00,0.00,0.00,0.00,74.50,0.00,0.00,0,359999
68,,,10.00,0.00,0.00,0.00,0.00,65.30,0.00,0.00,0.00,0.00,0.00,0.00,74.67,0.00,0.00,0,343999
69,,,10.04,0.00,0.00,0.00,0.00,65.66,0.00,0.00,0.00,0.00,0.00,0.00,74.88,0.00,0.00,0,307999
70,,,10.00,0.00,0.00,0.00,0.00,65.50,0.00,0.00,0.00,0.00,0.00,0.00,74.57,0.00,0.00,0,355999
71,,,10.06,0.00,0.00,0.00,0.00,65.83,0.00,0.00,0.00,0.00,0.00,0.00,74.95,0.00,0.00,0,259999
72,,,10.02,0.00,0.00,0.00,0.00,65.77,0.00,0.00,0.00,0.00,0.00,0.00,74.53,0.00,0.00,0,339999
73,,,10.09,0.00,0.00,0.00,0.00,66.41,0.00,0.00,0.00,0.00,0.00,0.00,74.88,0.00,0.00,0,251999
74,,,10.03,0.00,0.00,0.00,0.00,65.70,0.00,0.00,0.00,0.00,0.00,0.00,74.71,0.00,0.00,0,311999
75,,,10.07,0.00,0.00,0.00,0.00,66.09,0.00,0.00,0.00,0.00,0.00,0.00,74.87,0.00,0.00,0,299999
76,,,10.03,0.00,0.00,0.00,0.00,65.93,0.00,0.00,0.00,0.00,0.00,0.00,74.47,0.00,0.00,0,363999
77,,,10.03,0.00,0.00,0.00,0.00,65.78,0.00,0.00,0.00,0.00,0.00,0.00,74.68,0.00,0.00,0,291999
78,,,10.05,0.00,0.00,0.00,0.00,65.87,0.00,0.00,0.00,0.00,0.00,0.00,74.82,0.00,0.00,0,267999
79,,,10.06,0.00,0.00,0.00,0.00,65.73,0.00,0.00,0.00,0.00,0.00,0.00,75.08,0.00,0.00,0,255999
80,,,10.09,0.00,0.00,0.00,0.00,66.23,0.00,0.00,0.00,0.00,0.00,0.00,74.98,0.00,0.00,0,275999
81,,,10.11,0.00,0.00,0.00,0.00,66.52,0.00,0.00,0.00,0.00,0.00,0.00,75.02,0.00,0.00,0,243999
82,,,10.04,0.00,0.00,0.00,0.00,65.74,0.00,0.00,0.00,0.00,0.00,0.00,74.85,0.00,0.00,0,283999
83,,,10.01,0.00,0.00,0.00,0.00,65.61,0.00,0.00,0.00,0.00,0.00,0.00,74.47,0.00,0.00,0,371999
84,,,10.04,0.00,0.00,0.00,0.00,65.89,0.00,0.00,0.00,0.00,0.00,0.00,74.66,0.00,0.00,0,319999
85,,,10.04,0.00,0.00,0.00,0.00,65.90,0.00,0.00,0.00,0.00,0.00,0.00,74.66,0.00,0.00,0,303999
86,,,10.03,0.00,0.00,0.00,0.00,65.72,0.00,0.00,0.00,0.00,0.00,0.00,74.69,0.00,0.00,0,331999
87,,,10.02,0.00,0.00,0.00,0.00,65.69,0.00,0.00,0.00,0.00,0.00,0.00,74.63,0.00,0.00,0,327999
88,,,10.04,0.00,0.00,0.00,0.00,65.83,0.00,0.00,0.00,0.00,0.00,0.00,74.76,0.00,0.00,0,315999
89,,,10.10,0.00,0.00,0.00,0.00,66.54,0.00,0.00,0.00,0.00,0.00,0.00,74.91,0.00,0.00,0,247999
90,,,10.00,0.00,0.00,0.00,0.00,65.69,0.00,0.00,0.00,0.00,0.00,0.00,74.25,0.00,0.00,0,367999
91,,,10.03,0.00,0.00,0.00,0.00,65.90,0.00,0.00,0.00,0.00,0.00,0.00,74.49,0.00,0.00,0,347999
92,,,10.05,0.00,0.00,0.00,0.00,66.24,0.00,0.00,0.00,0.00,0.00,0.00,74.50,0.00,0.00,0,351999
