,Unnamed: 0,Unnamed: 0.1,Avg.,CR,MPQA,MR,MRPC,SICKRelatedness,SST2,STSBenchmark,SUBJ,TREC,epoch,step,STS12,STS13,STS14,STS15,STS16
41,41.0,,15.02,0.0,0.0,0.0,0.0,63.45,0.0,71.7,0.0,0.0,0,183999,,,,,
42,42.0,,15.53,0.0,0.0,0.0,0.0,65.63,0.0,74.16,0.0,0.0,0,107999,,,,,
43,43.0,,15.49,0.0,0.0,0.0,0.0,65.65,0.0,73.72,0.0,0.0,0,123999,,,,,
44,44.0,,14.92,0.0,0.0,0.0,0.0,63.71,0.0,70.57,0.0,0.0,0,215999,,,,,
45,45.0,,15.31,0.0,0.0,0.0,0.0,64.91,0.0,72.86,0.0,0.0,0,147999,,,,,
46,46.0,,15.53,0.0,0.0,0.0,0.0,65.67,0.0,74.12,0.0,0.0,0,103999,,,,,
47,47.0,,15.22,0.0,0.0,0.0,0.0,64.34,0.0,72.63,0.0,0.0,0,159999,,,,,
48,48.0,,15.06,0.0,0.0,0.0,0.0,64.13,0.0,71.39,0.0,0.0,0,187999,,,,,
49,49.0,,15.0,0.0,0.0,0.0,0.0,64.01,0.0,71.02,0.0,0.0,0,199999,,,,,
50,50.0,,15.13,0.0,0.0,0.0,0.0,64.18,0.0,71.97,0.0,0.0,0,175999,,,,,
51,51.0,,14.98,0.0,0.0,0.0,0.0,63.82,0.0,70.97,0.0,0.0,0,195999,,,,,
52,52.0,,14.69,0.0,0.0,0.0,0.0,62.78,0.0,69.4,0.0,0.0,0,243999,,,,,
53,53.0,,15.25,0.0,0.0,0.0,0.0,65.06,0.0,72.19,0.0,0.0,0,167999,,,,,
54,54.0,,15.25,0.0,0.0,0.0,0.0,64.8,0.0,72.44,0.0,0.0,0,155999,,,,,
55,55.0,,14.94,0.0,0.0,0.0,0.0,63.79,0.0,70.65,0.0,0.0,0,211999,,,,,
56,56.0,,14.89,0.0,0.0,0.0,0.0,63.58,0.0,70.41,0.0,0.0,0,219999,,,,,
57,57.0,,14.83,0.0,0.0,0.0,0.0,63.21,0.0,70.24,0.0,0.0,0,227999,,,,,
58,58.0,,15.19,0.0,0.0,0.0,0.0,64.33,0.0,72.41,0.0,0.0,0,163999,,,,,
59,59.0,,15.49,0.0,0.0,0.0,0.0,65.46,0.0,73.96,0.0,0.0,0,119999,,,,,
60,60.0,,15.38,0.0,0.0,0.0,0.0,65.27,0.0,73.18,0.0,0.0,0,135999,,,,,
61,,,9.34,0.00,0.00,0.00,0.00,62.31,0.00,68.45,0.00,0.00,0,271999,0.00,0.00,0.00,0.00,0.00
62,,,9.33,0.00,0.00,0.00,0.00,62.24,0.00,68.43,0.00,0.00,0,263999,0.00,0.00,0.00,0.00,0.00
63,,,9.37,0.00,0.00,0.00,0.00,62.47,0.00,68.70,0.00,0.00,0,259999,0.00,0.00,0.00,0.00,0.00
64,,,9.40,0.00,0.00,0.00,0.00,62.47,0.00,69.16,0.00,0.00,0,251999,0.00,0.00,0.00,0.00,0.00
65,,,9.37,0.00,0.00,0.00,0.00,62.76,0.00,68.45,0.00,0.00,0,267999,0.00,0.00,0.00,0.00,0.00
66,,,9.39,0.00,0.00,0.00,0.00,62.73,0.00,68.80,0.00,0.00,0,255999,0.00,0.00,0.00,0.00,0.00
67,,,9.30,0.00,0.00,0.00,0.00,62.02,0.00,68.18,0.00,0.00,0,275999,0.00,0.00,0.00,0.00,0.00
68,,,9.43,0.00,0.00,0.00,0.00,62.66,0.00,69.38,0.00,0.00,0,247999,0.00,0.00,0.00,0.00,0.00
